Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	Renewable energy or electricity target implemented	Scale	Type	Energy / electricity types covered by target (including unit)	Base year	Total renewable energy / electricity covered by target in base year	Percentage renewable energy / electricity of total energy or electricity in base year	Target year	Total renewable energy / electricity covered by target in target year	Percentage renewable energy / electricity of total energy or electricity in target year	Percentage of target achieved	Please specify plans to meet the target(s) and in which sector this target will be implemented	Population	Population Year	City Location	Last update
2020	49362	Ulaanbaatar City	Ulaanbaatar City	Mongolia	East Asia	public	Do not know												1539810	2020		2021-05-20T02:49:34.733
2020	60126	Tartu City Council	Tartu	Estonia	Europe	public	Yes	Local government operations	Electricity	All electricity consumed (percentage)	2017	100	20	2024	17000	100	90		95399	2020	POINT (26.7219 58.38)	2021-05-20T02:49:34.733
2020	63836	Vadodara Municipal Corporation		India	South and West Asia	public													2240522	2020		2021-05-20T02:49:34.733
2020	58530	City of Northampton, MA	Northampton	United States of America	North America	public	Yes	City-wide	Energy									City Council order to move to 100% renewable, but without detailed metrics	28549	2010	POINT (-72.6144 42.3048)	2021-05-20T02:49:34.733
2020	69995	Kemi	Kemi	Finland	Europe	public	In progress												20742	2020	POINT (24.5637 65.7364)	2021-05-20T02:49:34.733
2020	35874	City of Phoenix	Phoenix	United States of America	North America	public	Yes	Local government operations	Energy	All energy consumed (in MWh)	2005	0	0	2025		15	22	We currently have solar PV in 31 installations on City properties that provide roughly 22,300 MWh of clean energy to City operations. https://www.phoenix.gov/oepsite/Documents/111035.pdf	1660272	2018	POINT (-112.074 33.4484)	2021-05-20T02:49:34.733
2020	54048	City of Knoxville	Knoxville	United States of America	North America	public	Not intending to undertake												187603	2019	POINT (-83.9207 35.9606)	2021-05-20T02:49:34.733
2020	74680	City of Iasi	Iasi	Romania	Europe	public	In progress												793559	2019	POINT (27.35 47.1)	2021-05-20T02:49:34.733
2020	73749	Nagpur		India	South and West Asia	public	Yes	Local government operations			2019	68985	100	2019	5750	100	0	By the end of 2019, NMC will be generating 68985000 units/annum through rooftop solar (SPV systems) i.e. 68985000 kg of carbon emission will be reduced.Promoting wind-solar hybrid systems and solar power installations  (rooftop PV, water heaters, streetlights)Uptill now about 3000 solar water heaters have been provided by NMC to citizens of Nagpur City @50% subsidy which in turn have transfered the load of 9000 kW from conventional to non conventional energy.As far as rooftop SV system : 42 MW SPV systems will be installed at each and every location where NMC is consuming conventional energy which includes streetlights, office buildings, hospitals, schools, water pumping stations, sewage treatment plants etc and 68985000 units /annum will be generated.	2405665	2011		2021-05-20T02:49:34.733
2020	35907	Bangalore	Bangalore	India	South and West Asia	public	Intending to undertake in the next 2 years												13000000	2019	POINT (77.5946 12.9716)	2021-05-20T02:49:34.733
2020	848474	Richmond Council		United Kingdom of Great Britain and Northern Ireland	Europe	public	Not intending to undertake												199100	2020	POINT (-0.32574 51.448)	2021-05-20T02:49:34.733
2020	73684	Carlos Tejedor		Argentina	Latin America	public													11570	2010		2021-05-20T02:49:34.733
2020	59550	City of Bend, OR		United States of America	North America	public	Yes	City-wide	Electricity	All electricity consumed (percentage)	2016		10	2025		100	10	Working with the utilities and the state public utilities commission to develop community green tariff programs that would allow a community to purchase 100% renewable electricity at the community scale	100000	2020		2021-05-20T02:49:34.733
2020	36286	Comune di Ferrara	Ferrara	Italy	Europe	public	Yes	City-wide			2007	15966	2	2030	154062	27	21	Development up to 100.000 MWh of photovoltaic electricity; medium-size co-generation plants; innovative systems of renewable energy (piezoelectrics floors etc.).	132009	2018	POINT (11.619 44.8357)	2021-05-20T02:49:34.733
2020	831999	Concejo Municipal de Distrito de Monte Verde		Costa Rica	Latin America	public	Not intending to undertake												5253	2016		2021-05-20T02:49:34.733
2020	73765	Tuguegarao City		Philippines	Southeast Asia and Oceania	public	Do not know												165700	2019		2021-05-20T02:49:34.733
2020	60274	Prefeitura de Cruzeiro do Sul	Cruzeiro do Sul	Brazil	Latin America	public	Do not know												88376	2019	POINT (-72.6761 -7.62799)	2021-05-20T02:49:34.733
2020	848407	Junta Intermunicipal de Medio Ambiente del Ayuquila Alto		Mexico	Latin America	public													84288	2015		2021-05-20T02:49:34.733
2020	44191	Ansan City	Ansan-si	Republic of Korea	East Asia	public	Intending to undertake in the next 2 years												707385	2019		2021-05-20T02:49:34.733
2020	54114	City of Asheville	Asheville	United States of America	North America	public	Yes	City-wide	Energy	Energy produced (percentage)	2018	3125000	7	2042	100	100	7	"""Moving to 100%"" is a plan to transition all city, county and city-wide building energy use (electricity and natural gas) to 100% renewable energy by 2030."	92870	2019	POINT (-82.5515 35.5951)	2021-05-20T02:49:34.733
2020	31108	City of Houston	Houston	United States of America	North America	public	Yes	City-wide	Electricity	All electricity produced (in MWh)	2014	7550	0.03	2050	5000000	10	21	The City launched its Climate Action Plan April 2020 which has an overall goal to achieve carbon neutrality by 2050. A community goal of generating 5 million MWh from local rooftop and community solar per year by 2050 is part of this broader goal. The City is in the process of developing more 'specific' targets.  Houston will grow Houston's investment in renewable and resilient energy by supporting and promoting the use and development of renewable energy; supporting and promoting retail renewable energy opportunities: and advocating for renewable energy policies at the local, state and federal levels.	2343365	2019	POINT (-95.3694 29.7602)	2021-05-20T02:49:34.733
2020	50370	Municipalidad de Tampico	Tampico	Mexico	Latin America	public	Intending to undertake in the next 2 years												314418	2015	POINT (-99.0173 19.3599)	2021-05-20T02:49:34.733
2020	50389	Prefeitura de Maceió	Maceió	Brazil	Latin America	public	Intending to undertake in the next 2 years												1021127	2017	POINT (-35.718 -9.67342)	2021-05-20T02:49:34.733
2020	834251	Municipality of Coronel Dominguez		Argentina	Latin America	public													1231	2018		2021-05-20T02:49:34.733
2020	54070	City of Eugene	Eugene	United States of America	North America	public	Not intending to undertake												171245	2018	POINT (-123.087 44.0519)	2021-05-20T02:49:34.733
2020	1499	Ajuntament de Barcelona	Barcelona	Spain	Europe	public	Yes	Local government operations			2015	1.8	0.02	2020	3.6	0.03		Incentive Programme for Generating Solar Energy and  Transition  to Energy Sovereignity Plan	1636762	2019	POINT (2.1775 41.3823)	2021-05-20T02:49:34.733
2020	59958	Tweed Shire Council		Australia	Southeast Asia and Oceania	public	Intending to undertake in the next 2 years												96108	2018		2021-05-20T02:49:34.733
2020	60168	Derry City & Strabane	Derry	United Kingdom of Great Britain and Northern Ireland	Europe	public	Yes												150679	2019		2021-05-20T02:49:34.733
2020	73413	Commune de Cocody	Cocody	Côte d'Ivoire	Africa	public	Yes	Local government operations			2016	691	5	2020	1000	15	70	Mise en place de 30 000 lampadaires solaires dont 5000  à Cocody,  ainsi que  2000  feux  de signalisation solaire aux 500 carrefours les plus   importants de la commune;Fourniture de  3 millions de  kits solaires  à l’ensemble dont 200 000 aux femmes de Cocody;Installation de 300 centrales solaires  photovoltaïques dont 30 au profit des populations de Cocody et de Bingerville; Alimentation  en énergie solaire, de tous les bâtiments publics et privés de la commune y compris l’Université écologique Félix Houphouët Boigny (UFHB),  l’Observatoire-climat de  la société civile, le CHU, les lycées, les centres  municipaux de soins gratuits pour les démunis de Cocody (Service du Dr.Yobouet et celui  du Dr. Issiaka  pour les fractures et l’arthrose);	800000	2018	POINT (-3.9674 5.3602)	2021-05-20T02:49:34.733
2020	847263	Almafuerte		Argentina	Latin America	public													12020	2018		2021-05-20T02:49:34.733
2020	13113	Newcastle City Council	Newcastle upon Tyne	United Kingdom of Great Britain and Northern Ireland	Europe	public	Yes	City-wide	Energy	All energy consumed (percentage)	2016	0.36	0.36	2050	100	100	0.38	The Council has committed to work towards a clean energy system by 2050. This means a  system which produces no or very limited emissions of greenhouse gasses, and will go beyond existing targets of an 80% in CO2 emissions. Whilst detailed modelling and planning will need to be undertaken on the exact mix of solutions to achieve this target, we will prioritise local deployment of renewable and low carbon electricity and heat systems, as well as mechanisms to reduce demand, including smarter distribution and energy efficiency of domestic, commercial and industrial premises.	300196	2018		2021-05-20T02:49:34.733
2020	54268	Dunedin City Council		New Zealand	Southeast Asia and Oceania	public	Intending to undertake in the next 2 years												131100	2018		2021-05-20T02:49:34.733
2020	35863	eThekwini Municipality	Durban	South Africa	Africa	public	Yes	City-wide		Other, please specify: to have 100% electricity supply from renewable energy	2016	454	0.07	2050		100	7	Implementing viable small-scale renewable energy generation such as rooftop solar photovoltaic within municipal assets	3918863	2018	POINT (31.0218 -29.8587)	2021-05-20T02:49:34.733
2020	60399	Municipalidad de Miraflores	Miraflores	Peru	Latin America	public	In progress												99337	2017	POINT (-71.5366 -16.3994)	2021-05-20T02:49:34.733
2020	14344	City of Park City, UT	Park City	United States of America	North America	public	Yes	City-wide	Electricity	All electricity consumed (in MWh)	2016	34435	12.74	2030	254519247	100	12.74	Electrification of vehicles, expansion of electrified public transit,  100% renewable utilitiesPassed H.B. 411 Community Renewable Energy Act, signed by Gov. Gary Herbert on 4/22/2019https://le.utah.gov/~2019/bills/static/HB0411.htmlRequest for Proposals are currently being review for companies looking to build the renewable energy infrastructure dictated by H.B. 411 Renewable  Energy may include          (i) wind;          (ii) solar photovoltaic or thermal solar technology;          (iii) a geothermal resource; or          (iv) a hydroelectric plant; or          (b) use of an energy efficient and sustainable technology the commission has approved for implementation that:                     (i) increases efficient energy usage;                    (ii) is capable of being used for demand response; or                    (iii) facilitates the use and development of renewable generation resources through electrical grid management or energy storage.	8376	2016	POINT (-111.498 40.6461)	2021-05-20T02:49:34.733
